127.0.0.1 - - [12/Jul/2023:16:00:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:00:45 +0900] "GET /project01/index.jsp HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:00:45 +0900] "GET /project01/images/logo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:00:45 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:00:45 +0900] "GET /project01/images/drama2.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:00:47 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:00:47 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:00:47 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:01:17 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:01:17 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:01:39 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:01:39 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:01:39 +0900] "GET /images/logo1.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:02:02 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:02:02 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:02:59 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:02:59 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:00 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:00 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:04 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:04 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:40 +0900] "GET /project01/index.jsp HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:40 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:40 +0900] "GET /project01/images/drama2.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:42 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:03:42 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:04:08 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:04:08 +0900] "GET /project01/form/images/logo1.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:04:46 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3429
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:04:50 +0900] "GET /project01/form/joinForm.jsp HTTP/1.1" 200 6785
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:04:51 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3429
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:05:24 +0900] "GET /project01/index.jsp HTTP/1.1" 200 6998
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:05:24 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:05:24 +0900] "GET /project01/images/drama2.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:20:10 +0900] "GET /project01/index.jsp HTTP/1.1" 200 6998
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:20:10 +0900] "GET /project01/images/logo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:20:10 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:20:10 +0900] "GET /project01/images/drama2.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:22:18 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:22:19 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:22:19 +0900] "GET /project01/images/drama2.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:25:41 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7367
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:25:41 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:25:41 +0900] "GET /project01/images/drama2.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:27:46 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7439
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:27:46 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:27:46 +0900] "GET /project01/images/drama2.png HTTP/1.1" 200 262514
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:28:38 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7439
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:28:38 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:28:38 +0900] "GET /project01/images/drama6.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:30:23 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7598
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:30:23 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:36:11 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7767
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:36:11 +0900] "GET /project01/images/logo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:36:11 +0900] "GET /project01/images/movie6.png HTTP/1.1" 200 241148
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:39:14 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7953
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:40:39 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8045
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:41:51 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8167
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:43:04 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:43:42 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8328
